tw_id,tw_created_at,tw_text,tw_favCount,tw_rtCount,tw_qtCount,tw_rpCount,tw_location,tw_user_id,tw_user_screenName,tw_hashtags,tw_menciones,or_id,or_created_at,or_text,or_favCount,or_rtCount,or_qtCount,or_rpCount,or_location,or_user_id,or_user_screenName,or_hashtags,or_menciones,relacion_nuevo_original
1385705103341113344,2021-04-23 21:20:16+00:00,RT @AndreaMPardini: Realmente crees q algune de los monstruos de JxC defienden salud  educación  trabajo? Defender la vida  ni hablar  si t…,0,0,0,0, ,1118202107721658374,lsegarra5,,AndreaMPardini ,1385652650147041280,2021-04-23 17:51:50+00:00,Realmente crees q algune de los monstruos de JxC defienden salud  educación  trabajo? Defender la vida  ni hablar  si te manda a morir tus niñes! Otorgan turnos CERO para vacunatorios PAMI. Tu vida les importa un pepino #LarretaRenunciaYa https://t.co/8mo2sWmm5P,13,32,0,2, ,1247342130,AndreaMPardini,,,RT
1385705107040387081,2021-04-23 21:20:17+00:00,RT @cheadmdq: Si queres te lo explican en video  #LarretaRenunciaYa https://t.co/TA6k4TqJzM,0,0,0,0, ,290379922,PutitaMerello,LarretaRenunciaYa ,cheadmdq ,1385603340126535681,2021-04-23 14:35:54+00:00,Si queres te lo explican en video  #LarretaRenunciaYa https://t.co/TA6k4TqJzM,233,229,27,26, ,119867501,cheadmdq,LarretaRenunciaYa ,,RT
1385705113164079109,2021-04-23 21:20:18+00:00,Frente a todas estas atrocidades  ¿se puede confiar en la vacunación q hace la CABA? ¡Son capaces de dejar vencer vacunas e inocularlas igualmente!😰,0,0,0,0, ,4028708099,cha_lilin,,,1385667437136318472,2021-04-23 18:50:36+00:00,Con la salud no se jode! Y menos en plena pandemia  Larreta no lo entiende y atenta contra la salud de los argentinos #LarretaRenunciaYa https://t.co/EfawgBsqIe,84,103,22,14, ,1358283428211343363,FDTunido,,,QT
,,,,,,,,,,,,1385705113088667651,2021-04-23 21:20:18+00:00,#LarretaRenunciaYa Porque no puede organizar la vacunación https://t.co/y7P58aSu4j,0,0,0,0, ,903422347365027840,JulianStefan6,LarretaRenunciaYa ,,Original
1385705117836627980,2021-04-23 21:20:19+00:00,RT @ArgentinaRA1: #LarretaRenunciaYa  🤬No puede organizar un truco 🃏de 4... va a manejar la logística de una vacunación💉?  Cárcel para este…,0,0,0,0, ,1379453971904004098,Salvado65305529,LarretaRenunciaYa ,ArgentinaRA1 ,1385650711808167940,2021-04-23 17:44:08+00:00,#LarretaRenunciaYa  🤬No puede organizar un truco 🃏de 4... va a manejar la logística de una vacunación💉?  Cárcel para este  a s e s i n o!!! https://t.co/4kyZbJCJB6,35,63,11,0, ,1241512416401412097,ArgentinaRA1,LarretaRenunciaYa ,,RT
1385705119887593476,2021-04-23 21:20:20+00:00,RT @eleonoraugo5: Ay Dios qué asco. Mienten. Mienten. Mienten. Mira este video de Luana #LarretaRenunciaYa https://t.co/WuEXztW1Ut,0,0,0,0, ,578722695,_josami,LarretaRenunciaYa ,eleonoraugo5 ,1385614741452828672,2021-04-23 15:21:12+00:00,Ay Dios qué asco. Mienten. Mienten. Mienten. Mira este video de Luana #LarretaRenunciaYa https://t.co/WuEXztW1Ut,205,250,39,28, ,1306825927385640960,eleonoraugo5,LarretaRenunciaYa ,,RT
1385705120080478209,2021-04-23 21:20:20+00:00,RT @eleonoraugo5: La Clínica Independencia de Munro  familiares rezando afuera.Ya esta al 100%. Vte López una vez tuvo buenas políticas san…,0,0,0,0, ,4197708767,AdrianaMGuerin,,eleonoraugo5 ,1385683338988560386,2021-04-23 19:53:47+00:00,La Clínica Independencia de Munro  familiares rezando afuera.Ya esta al 100%. Vte López una vez tuvo buenas políticas sanitarias. Hasta q ganó @jorgemacri y todo fue cotillón. El q quería presencialidad c 3 camas en UTI ahora sólo cama caliente en sólo 5 días. #LarretaRenunciaYa https://t.co/D4LVtJmEb8,100,124,26,10, ,1306825927385640960,eleonoraugo5,,,RT
1385705126845898752,2021-04-23 21:20:22+00:00,RT @GloApasionada: Quieren ser del primer mundo... pero si en Alemania  le dan poderes a Merkel para endurecer  restricciones sanitarias...…,0,0,0,0, ,1045323119911743489,SilviaIrenesan4,,GloApasionada ,1385619475605635073,2021-04-23 15:40:01+00:00,Quieren ser del primer mundo... pero si en Alemania  le dan poderes a Merkel para endurecer  restricciones sanitarias...  miran para otro lado...  La oposicion no puede respetar una restricción por 15 días   #LarretaRenunciaYA https://t.co/hjuV0ue81B,22,44,4,1, ,1335362240589991944,GloApasionada,,,RT
1385705130423685122,2021-04-23 21:20:22+00:00,RT @Cristian_2_27: ✅ No sucedió en Venezuela! ✅ Tampoco en Cuba ✅ Fue en Capital Federal!!!  Hace más de un año  que Larreta muestra su INO…,0,0,0,0, ,752396401804533761,Ciu_Empo_caba,,Cristian_2_27 ,1385692467681443841,2021-04-23 20:30:03+00:00,✅ No sucedió en Venezuela! ✅ Tampoco en Cuba ✅ Fue en Capital Federal!!!  Hace más de un año  que Larreta muestra su INOPERANCIA.  Necesitas más pruebas? 👊👊  #LarretaRenunciaYa https://t.co/XSbqhw52dg,27,34,8,7, ,4138416743,Cristian_2_27,,,RT
,,,,,,,,,,,,1385705130557939712,2021-04-23 21:20:22+00:00,#LarretaRenunciaYa  Marcha de los padres en la sede de Uspallata del Gobierno de la Ciudad   piden cuidar la vida de sus hijos  clases virtuales !!! basta de caprichos haciendo campaña con la vida de los niños  docentes y familias,0,0,0,0, ,794568188,lauzuccotti,LarretaRenunciaYa ,,Original
